Name,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear
Saquon Barkley,PHI,RB,27,16,0.0,0.0,0.0,0.0,0.0,345.0,2005.0,13.0,43.0,33.0,278.0,2.0,1.0,3.0,0.0,355.3,
Derrick Henry,BAL,RB,30,17,0.0,0.0,0.0,0.0,0.0,325.0,1921.0,16.0,22.0,19.0,193.0,2.0,1.0,0.0,0.0,336.4,
Jahmyr Gibbs,DET,RB,22,17,0.0,0.0,0.0,0.0,0.0,250.0,1412.0,16.0,63.0,52.0,517.0,4.0,1.0,0.0,0.0,362.9,
Lamar Jackson,BAL,QB,27,17,316.0,474.0,4172.0,41.0,4.0,139.0,915.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,430.4,
Ja'Marr Chase,CIN,WR,24,17,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,175.0,127.0,1708.0,17.0,0.0,0.0,0.0,403.0,
Bijan Robinson,ATL,RB,22,17,0.0,0.0,0.0,0.0,0.0,304.0,1456.0,14.0,72.0,61.0,431.0,1.0,0.0,1.0,0.0,341.7,
Josh Jacobs,GNB,RB,26,17,0.0,0.0,0.0,0.0,0.0,301.0,1329.0,15.0,43.0,36.0,342.0,1.0,3.0,0.0,0.0,293.1,
Josh Allen,BUF,QB,28,17,307.0,483.0,3731.0,28.0,6.0,102.0,531.0,12.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,379.0,
Joe Burrow,CIN,QB,28,17,460.0,652.0,4918.0,43.0,9.0,42.0,201.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,372.8,
Kyren Williams,LAR,RB,24,16,0.0,0.0,0.0,0.0,0.0,316.0,1299.0,14.0,40.0,34.0,182.0,2.0,3.0,0.0,0.0,272.1,
James Cook,BUF,RB,25,16,0.0,0.0,0.0,0.0,0.0,207.0,1009.0,16.0,38.0,32.0,258.0,2.0,0.0,0.0,0.0,266.7,
Justin Jefferson,MIN,WR,25,17,1.0,1.0,22.0,0.0,0.0,1.0,3.0,0.0,154.0,103.0,1533.0,10.0,0.0,0.0,0.0,317.5,
Baker Mayfield,TAM,QB,29,17,407.0,570.0,4500.0,41.0,16.0,60.0,378.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,365.8,
Jonathan Taylor,IND,RB,25,14,0.0,0.0,0.0,0.0,0.0,303.0,1431.0,11.0,31.0,18.0,136.0,1.0,1.0,0.0,0.0,244.7,
George Kittle,SFO,TE,31,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,78.0,1106.0,8.0,0.0,0.0,0.0,236.6,
Jayden Daniels,WAS,QB,24,17,331.0,480.0,3568.0,25.0,9.0,148.0,891.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,355.8,
De'Von Achane,MIA,RB,23,17,0.0,0.0,0.0,0.0,0.0,203.0,907.0,6.0,87.0,78.0,592.0,6.0,0.0,0.0,0.0,299.9,
Amon-Ra St. Brown,DET,WR,25,17,1.0,1.0,7.0,1.0,0.0,2.0,6.0,0.0,141.0,115.0,1263.0,12.0,1.0,0.0,0.0,316.2,
Brian Thomas,JAX,WR,22,17,0.0,0.0,0.0,0.0,0.0,6.0,48.0,0.0,133.0,87.0,1282.0,10.0,0.0,2.0,0.0,284.0,
Brock Bowers,LVR,TE,22,17,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,153.0,112.0,1194.0,5.0,0.0,0.0,0.0,262.7,
James Conner,ARI,RB,29,16,0.0,0.0,0.0,0.0,0.0,236.0,1094.0,8.0,55.0,47.0,414.0,1.0,1.0,2.0,0.0,253.8,
Joe Mixon,HOU,RB,28,14,0.0,1.0,0.0,0.0,0.0,245.0,1016.0,11.0,52.0,36.0,309.0,1.0,0.0,0.0,0.0,240.5,
Terry McLaurin,WAS,WR,29,17,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,117.0,82.0,1096.0,13.0,1.0,0.0,0.0,267.8,
Trey McBride,ARI,TE,25,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,147.0,111.0,1146.0,2.0,0.0,0.0,0.0,249.8,
Chase Brown,CIN,RB,24,16,0.0,0.0,0.0,0.0,0.0,229.0,990.0,7.0,65.0,54.0,360.0,4.0,1.0,1.0,0.0,255.0,
Drake London,ATL,WR,23,17,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,158.0,100.0,1271.0,9.0,0.0,0.0,0.0,280.8,
Chuba Hubbard,CAR,RB,25,15,0.0,0.0,0.0,0.0,0.0,250.0,1195.0,10.0,54.0,43.0,171.0,1.0,3.0,1.0,0.0,241.6,
Jonnu Smith,MIA,TE,29,17,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,111.0,88.0,884.0,8.0,1.0,0.0,0.0,222.3,
Mark Andrews,BAL,TE,29,17,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,69.0,55.0,673.0,11.0,0.0,0.0,0.0,188.8,
Bucky Irving,TAM,RB,22,17,0.0,0.0,0.0,0.0,0.0,207.0,1122.0,8.0,52.0,47.0,392.0,0.0,1.0,0.0,0.0,244.4,
Alvin Kamara,NOR,RB,29,14,0.0,0.0,0.0,0.0,0.0,228.0,950.0,6.0,89.0,68.0,543.0,2.0,0.0,0.0,0.0,265.3,
Aaron Jones,MIN,RB,30,17,0.0,0.0,0.0,0.0,0.0,255.0,1138.0,5.0,62.0,51.0,408.0,2.0,3.0,0.0,0.0,241.6,
Jared Goff,DET,QB,30,17,390.0,539.0,4629.0,37.0,12.0,35.0,56.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,1.0,324.5,
David Montgomery,DET,RB,27,14,1.0,1.0,3.0,1.0,0.0,185.0,775.0,12.0,38.0,36.0,341.0,0.0,1.0,0.0,0.0,221.7,
Mike Evans,TAM,WR,31,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,74.0,1004.0,11.0,0.0,0.0,0.0,240.4,
Breece Hall,NYJ,RB,23,16,0.0,0.0,0.0,0.0,0.0,209.0,876.0,5.0,76.0,57.0,483.0,3.0,2.0,2.0,0.0,240.9,
Malik Nabers,NYG,WR,21,15,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,170.0,109.0,1204.0,7.0,0.0,1.0,0.0,273.6,
Bo Nix,DEN,QB,24,17,376.0,567.0,3775.0,29.0,12.0,92.0,430.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,317.2,
Jalen Hurts,PHI,QB,26,15,248.0,361.0,2903.0,18.0,5.0,150.0,630.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,315.1,
CeeDee Lamb,DAL,WR,25,15,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,152.0,101.0,1194.0,6.0,1.0,1.0,0.0,263.4,
Sam LaPorta,DET,TE,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,60.0,726.0,7.0,0.0,0.0,0.0,174.6,
Courtland Sutton,DEN,WR,29,17,2.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,135.0,81.0,1081.0,8.0,1.0,0.0,0.0,240.3,
Ladd McConkey,LAC,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,82.0,1149.0,7.0,0.0,1.0,0.0,240.9,
Tucker Kraft,GNB,TE,24,17,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,70.0,50.0,707.0,7.0,1.0,1.0,0.0,163.3,
Zach Ertz,WAS,TE,34,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,66.0,654.0,7.0,0.0,2.0,0.0,177.4,
Davante Adams,2TM,WR,32,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,85.0,1063.0,8.0,0.0,1.0,0.0,241.3,
Sam Darnold,MIN,QB,27,17,361.0,545.0,4319.0,35.0,12.0,67.0,212.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,308.0,
Jameson Williams,DET,WR,23,15,0.0,0.0,0.0,0.0,0.0,11.0,61.0,1.0,91.0,58.0,1001.0,7.0,0.0,0.0,0.0,212.2,
D'Andre Swift,CHI,RB,25,17,0.0,0.0,0.0,0.0,0.0,253.0,959.0,6.0,52.0,42.0,386.0,0.0,0.0,1.0,0.0,214.5,
Jaxon Smith-Njigba,SEA,WR,22,17,1.0,1.0,35.0,0.0,0.0,5.0,26.0,0.0,137.0,100.0,1130.0,6.0,0.0,0.0,0.0,253.0,
Jerry Jeudy,CLE,WR,25,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,90.0,1229.0,4.0,0.0,2.0,0.0,240.9,
Garrett Wilson,NYJ,WR,24,17,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,154.0,101.0,1104.0,7.0,2.0,1.0,0.0,251.9,
Najee Harris,PIT,RB,26,17,0.0,0.0,0.0,0.0,0.0,263.0,1043.0,6.0,48.0,36.0,283.0,0.0,0.0,0.0,0.0,204.6,
Jordan Addison,MIN,WR,22,15,0.0,0.0,0.0,0.0,0.0,3.0,20.0,1.0,99.0,63.0,875.0,9.0,0.0,0.0,0.0,212.5,
A.J. Brown,PHI,WR,27,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,67.0,1079.0,7.0,0.0,0.0,0.0,216.9,
Tee Higgins,CIN,WR,25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,73.0,911.0,10.0,1.0,0.0,0.0,222.1,
Pat Freiermuth,PIT,TE,26,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,65.0,653.0,7.0,2.0,0.0,0.0,168.3,
Kyler Murray,ARI,QB,27,17,372.0,541.0,3851.0,21.0,11.0,78.0,572.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,297.2,
Travis Kelce,KAN,TE,35,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,133.0,97.0,823.0,3.0,1.0,0.0,0.0,195.4,
Nico Collins,HOU,WR,25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,68.0,1006.0,7.0,0.0,0.0,0.0,210.6,
Jayden Reed,GNB,WR,24,17,0.0,0.0,0.0,0.0,0.0,20.0,163.0,1.0,75.0,55.0,857.0,6.0,1.0,0.0,0.0,197.0,
