Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear,Team_NextYear
Christian McCaffrey,2019,CAR,RB,23,16,0.0,2.0,0.0,0.0,0.0,287.0,1387.0,15.0,142.0,116.0,1005.0,4.0,0.0,1.0,0.0,471.2,90.4,CAR
Derrick Henry,2019,TEN,RB,25,15,0.0,0.0,0.0,0.0,0.0,303.0,1540.0,16.0,24.0,18.0,206.0,2.0,3.0,0.0,0.0,294.6,333.1,TEN
Aaron Jones,2019,GNB,RB,25,16,0.0,0.0,0.0,0.0,0.0,236.0,1084.0,16.0,68.0,49.0,474.0,3.0,2.0,0.0,0.0,314.8,258.9,GNB
Ezekiel Elliott,2019,DAL,RB,24,16,0.0,0.0,0.0,0.0,0.0,301.0,1357.0,12.0,71.0,54.0,420.0,2.0,2.0,0.0,0.0,311.7,223.7,DAL
Dalvin Cook,2019,MIN,RB,24,14,0.0,0.0,0.0,0.0,0.0,250.0,1135.0,13.0,63.0,53.0,519.0,0.0,2.0,0.0,0.0,292.4,337.8,MIN
Nick Chubb,2019,CLE,RB,24,16,0.0,0.0,0.0,0.0,0.0,298.0,1494.0,8.0,49.0,36.0,278.0,0.0,3.0,0.0,0.0,255.2,207.7,CLE
Mark Ingram,2019,BAL,RB,30,15,0.0,0.0,0.0,0.0,0.0,202.0,1018.0,10.0,29.0,26.0,247.0,5.0,2.0,2.0,0.0,242.5,52.9,BAL
Austin Ekeler,2019,LAC,RB,24,16,0.0,0.0,0.0,0.0,0.0,132.0,557.0,3.0,108.0,92.0,993.0,8.0,2.0,0.0,0.0,309.0,165.3,LAC
Chris Carson,2019,SEA,RB,25,15,0.0,0.0,0.0,0.0,0.0,278.0,1230.0,7.0,47.0,37.0,266.0,2.0,4.0,0.0,0.0,232.6,187.8,SEA
Saquon Barkley,2019,NYG,RB,22,13,0.0,0.0,0.0,0.0,0.0,217.0,1003.0,6.0,73.0,52.0,438.0,2.0,0.0,0.0,0.0,244.1,15.4,NYG
Joe Mixon,2019,CIN,RB,23,16,0.0,0.0,0.0,0.0,0.0,278.0,1137.0,5.0,45.0,35.0,287.0,3.0,0.0,0.0,0.0,225.4,99.6,CIN
Todd Gurley,2019,LAR,RB,25,15,0.0,0.0,0.0,0.0,0.0,223.0,857.0,12.0,49.0,31.0,207.0,2.0,2.0,1.0,0.0,219.4,163.2,ATL
Leonard Fournette,2019,JAX,RB,24,15,0.0,0.0,0.0,0.0,0.0,265.0,1152.0,3.0,100.0,76.0,522.0,0.0,1.0,0.0,0.0,259.4,132.0,TAM
Josh Jacobs,2019,OAK,RB,21,13,0.0,0.0,0.0,0.0,0.0,242.0,1150.0,7.0,27.0,20.0,166.0,0.0,1.0,0.0,0.0,191.6,231.3,LVR
Miles Sanders,2019,PHI,RB,22,16,0.0,0.0,0.0,0.0,0.0,179.0,818.0,3.0,63.0,50.0,509.0,3.0,1.0,1.0,0.0,218.7,170.4,PHI
Alvin Kamara,2019,NOR,RB,24,14,1.0,1.0,13.0,0.0,0.0,171.0,797.0,5.0,97.0,81.0,533.0,1.0,1.0,0.0,0.0,248.5,377.8,NOR
Marlon Mack,2019,IND,RB,23,14,0.0,0.0,0.0,0.0,0.0,247.0,1091.0,8.0,17.0,14.0,82.0,0.0,0.0,1.0,0.0,181.3,8.6,IND
Kenyan Drake,2019,2TM,RB,25,14,0.0,0.0,0.0,0.0,0.0,170.0,817.0,8.0,68.0,50.0,345.0,0.0,1.0,1.0,0.0,214.2,192.2,ARI
Phillip Lindsay,2019,DEN,RB,25,16,0.0,0.0,0.0,0.0,0.0,224.0,1011.0,7.0,48.0,35.0,196.0,0.0,0.0,0.0,0.0,197.7,66.0,DEN
Raheem Mostert,2019,SFO,RB,27,16,0.0,0.0,0.0,0.0,0.0,137.0,772.0,8.0,22.0,14.0,180.0,2.0,2.0,0.0,0.0,165.2,99.7,SFO
Le'Veon Bell,2019,NYJ,RB,27,15,0.0,0.0,0.0,0.0,0.0,245.0,789.0,3.0,78.0,66.0,461.0,1.0,1.0,1.0,0.0,215.0,74.6,2TM
David Montgomery,2019,CHI,RB,22,16,0.0,0.0,0.0,0.0,0.0,242.0,889.0,6.0,35.0,25.0,185.0,1.0,2.0,0.0,0.0,170.4,264.8,CHI
Carlos Hyde,2019,HOU,RB,29,16,0.0,0.0,0.0,0.0,0.0,245.0,1070.0,6.0,16.0,10.0,42.0,0.0,2.0,0.0,0.0,153.2,84.9,SEA
Sony Michel,2019,NWE,RB,24,16,0.0,0.0,0.0,0.0,0.0,247.0,912.0,7.0,20.0,12.0,94.0,0.0,1.0,0.0,0.0,152.6,75.3,NWE
Devonta Freeman,2019,ATL,RB,27,14,0.0,0.0,0.0,0.0,0.0,184.0,656.0,2.0,70.0,59.0,410.0,4.0,2.0,0.0,0.0,197.6,36.0,NYG
Melvin Gordon,2019,LAC,RB,26,12,0.0,0.0,0.0,0.0,0.0,162.0,612.0,8.0,55.0,42.0,296.0,1.0,3.0,0.0,0.0,180.8,198.4,DEN
Ronald Jones II,2019,TAM,RB,22,16,0.0,0.0,0.0,0.0,0.0,172.0,724.0,6.0,40.0,31.0,309.0,0.0,2.0,0.0,0.0,166.3,186.3,TAM
Adrian Peterson,2019,WAS,RB,34,15,0.0,0.0,0.0,0.0,0.0,211.0,898.0,5.0,23.0,17.0,142.0,0.0,2.0,0.0,0.0,147.0,124.5,DET
James White,2019,NWE,RB,27,15,1.0,1.0,35.0,0.0,0.0,67.0,263.0,1.0,95.0,72.0,645.0,5.0,1.0,1.0,0.0,200.2,116.6,NWE
Latavius Murray,2019,NOR,RB,29,16,0.0,0.0,0.0,0.0,0.0,146.0,637.0,5.0,43.0,34.0,235.0,1.0,0.0,0.0,0.0,157.2,136.2,NOR
Devin Singletary,2019,BUF,RB,22,12,0.0,0.0,0.0,0.0,0.0,151.0,775.0,2.0,41.0,29.0,194.0,2.0,1.0,0.0,0.0,147.9,143.6,BUF
Tevin Coleman,2019,SFO,RB,26,14,0.0,0.0,0.0,0.0,0.0,137.0,544.0,6.0,30.0,21.0,180.0,1.0,0.0,0.0,0.0,135.4,12.7,SFO
James Conner,2019,PIT,RB,24,10,0.0,0.0,0.0,0.0,0.0,116.0,464.0,4.0,38.0,34.0,251.0,3.0,1.0,0.0,0.0,145.5,164.6,PIT
Damien Williams,2019,KAN,RB,27,11,0.0,0.0,0.0,0.0,0.0,111.0,498.0,5.0,37.0,30.0,213.0,2.0,1.0,0.0,0.0,141.1,60.7,CHI
Duke Johnson,2019,HOU,RB,26,16,0.0,0.0,0.0,0.0,0.0,83.0,410.0,2.0,62.0,44.0,410.0,3.0,1.0,0.0,0.0,154.0,84.4,HOU
Jamaal Williams,2019,GNB,RB,24,14,0.0,0.0,0.0,0.0,0.0,107.0,460.0,1.0,45.0,39.0,253.0,5.0,0.0,0.0,0.0,146.3,127.1,GNB
David Johnson,2019,ARI,RB,28,13,0.0,0.0,0.0,0.0,0.0,94.0,345.0,2.0,47.0,36.0,370.0,4.0,1.0,0.0,0.0,141.5,179.5,HOU
Peyton Barber,2019,TAM,RB,25,16,0.0,0.0,0.0,0.0,0.0,154.0,470.0,6.0,24.0,16.0,115.0,1.0,1.0,1.0,0.0,116.5,55.0,WAS
Jordan Howard,2019,PHI,RB,25,10,0.0,0.0,0.0,0.0,0.0,119.0,525.0,6.0,14.0,10.0,69.0,1.0,0.0,0.0,0.0,111.4,30.7,2TM
Royce Freeman,2019,DEN,RB,23,16,0.0,0.0,0.0,0.0,0.0,132.0,496.0,3.0,50.0,43.0,256.0,1.0,0.0,0.0,0.0,142.2,37.1,DEN
LeSean McCoy,2019,KAN,RB,31,13,0.0,0.0,0.0,0.0,0.0,101.0,465.0,4.0,34.0,28.0,181.0,1.0,2.0,0.0,0.0,118.6,28.2,TAM
Gus Edwards,2019,BAL,RB,24,16,0.0,0.0,0.0,0.0,0.0,133.0,711.0,2.0,7.0,7.0,45.0,0.0,1.0,0.0,0.0,92.6,128.2,BAL
DeAndre Washington,2019,OAK,RB,26,16,0.0,0.0,0.0,0.0,0.0,108.0,387.0,3.0,41.0,36.0,292.0,0.0,0.0,0.0,0.0,121.9,17.1,2TM
Tarik Cohen,2019,CHI,RB,24,16,0.0,0.0,0.0,0.0,0.0,64.0,213.0,0.0,104.0,79.0,456.0,3.0,0.0,0.0,0.0,163.9,17.5,CHI
Matt Breida,2019,SFO,RB,24,13,0.0,0.0,0.0,0.0,0.0,123.0,623.0,1.0,22.0,19.0,120.0,1.0,1.0,0.0,0.0,103.3,42.0,MIA
Frank Gore,2019,BUF,RB,36,16,0.0,0.0,0.0,0.0,0.0,166.0,599.0,2.0,16.0,13.0,100.0,0.0,0.0,0.0,0.0,94.9,100.2,NYJ
Kerryon Johnson,2019,DET,RB,22,8,0.0,0.0,0.0,0.0,0.0,113.0,403.0,3.0,15.0,10.0,127.0,1.0,1.0,0.0,0.0,85.0,71.8,DET
Rex Burkhead,2019,NWE,RB,29,13,0.0,0.0,0.0,0.0,0.0,65.0,302.0,3.0,38.0,27.0,279.0,0.0,1.0,0.0,0.0,101.1,107.6,NWE
Nyheim Hines,2019,IND,RB,23,16,0.0,0.0,0.0,0.0,0.0,52.0,199.0,2.0,58.0,44.0,320.0,0.0,1.0,0.0,0.0,117.9,193.2,IND
Tony Pollard,2019,DAL,RB,22,15,0.0,0.0,0.0,0.0,0.0,86.0,455.0,2.0,20.0,15.0,107.0,1.0,1.0,1.0,0.0,89.2,120.8,DAL
Boston Scott,2019,PHI,RB,24,11,0.0,0.0,0.0,0.0,0.0,61.0,245.0,5.0,26.0,24.0,204.0,0.0,1.0,0.0,0.0,96.9,95.6,PHI
Chase Edmonds,2019,ARI,RB,23,13,0.0,0.0,0.0,0.0,0.0,60.0,303.0,4.0,21.0,12.0,105.0,1.0,0.0,0.0,0.0,82.8,168.0,ARI
Rashaad Penny,2019,SEA,RB,23,10,0.0,0.0,0.0,0.0,0.0,65.0,370.0,3.0,11.0,8.0,83.0,1.0,1.0,0.0,0.0,75.3,3.4,SEA
Kareem Hunt,2019,CLE,RB,24,8,0.0,0.0,0.0,0.0,0.0,43.0,179.0,2.0,44.0,37.0,285.0,1.0,0.0,0.0,0.0,101.4,218.5,CLE
Alexander Mattison,2019,MIN,RB,21,13,0.0,0.0,0.0,0.0,0.0,100.0,462.0,1.0,12.0,10.0,82.0,0.0,1.0,0.0,0.0,68.4,86.9,MIN
Malcolm Brown,2019,LAR,RB,26,14,0.0,0.0,0.0,0.0,0.0,69.0,255.0,5.0,6.0,2.0,16.0,0.0,0.0,0.0,0.0,59.1,109.1,LAR
Brian Hill,2019,ATL,RB,24,12,0.0,0.0,0.0,0.0,0.0,78.0,323.0,2.0,14.0,10.0,69.0,1.0,0.0,0.0,0.0,67.2,95.4,ATL
