Name,Year,Team,Position,Age,Games,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Fumbles_Lost,2PM,2PP,Fantasy_PPR,Fantasy_PPR_NextYear
Michael Thomas,2019,NOR,WR,26,16,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,0.0,185.0,149.0,1725.0,9.0,0.0,0.0,0.0,374.6,83.9
Chris Godwin,2019,TAM,WR,23,14,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,121.0,86.0,1333.0,9.0,0.0,1.0,0.0,276.1,191.0
Kenny Golladay,2019,DET,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,65.0,1190.0,11.0,1.0,0.0,0.0,248.0,65.8
Cooper Kupp,2019,LAR,WR,26,16,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,134.0,94.0,1161.0,10.0,0.0,0.0,0.0,270.5,208.7
Julio Jones,2019,ATL,WR,30,15,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,157.0,99.0,1394.0,6.0,0.0,0.0,0.0,274.1,146.1
DeVante Parker,2019,MIA,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,72.0,1202.0,9.0,0.0,0.0,0.0,246.2,166.3
Amari Cooper,2019,DAL,WR,25,16,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,119.0,79.0,1189.0,8.0,0.0,0.0,0.0,246.5,236.8
Mike Evans,2019,TAM,WR,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,67.0,1157.0,8.0,0.0,1.0,0.0,232.7,248.6
A.J. Brown,2019,TEN,WR,22,16,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,84.0,52.0,1051.0,8.0,0.0,0.0,0.0,217.1,247.5
DeAndre Hopkins,2019,HOU,WR,27,15,1.0,2.0,6.0,1.0,1.0,2.0,18.0,0.0,150.0,104.0,1165.0,7.0,0.0,1.0,0.0,268.5,287.8
Keenan Allen,2019,LAC,WR,27,16,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,149.0,104.0,1199.0,6.0,0.0,0.0,0.0,261.5,245.1
Allen Robinson,2019,CHI,WR,26,16,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,154.0,98.0,1147.0,7.0,0.0,0.0,0.0,254.9,262.9
Julian Edelman,2019,NWE,WR,33,16,2.0,2.0,47.0,1.0,0.0,8.0,27.0,0.0,153.0,100.0,1117.0,6.0,1.0,1.0,0.0,256.3,56.2
Jarvis Landry,2019,CLE,WR,27,16,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,138.0,83.0,1174.0,6.0,0.0,0.0,0.0,237.4,188.0
Tyler Lockett,2019,SEA,WR,27,16,0.0,0.0,0.0,0.0,0.0,4.0,-5.0,0.0,110.0,82.0,1057.0,8.0,0.0,0.0,0.0,235.2,265.4
DJ Chark,2019,JAX,WR,23,15,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,118.0,73.0,1008.0,8.0,0.0,1.0,0.0,225.8,153.6
Courtland Sutton,2019,DEN,WR,24,16,1.0,1.0,38.0,0.0,0.0,3.0,17.0,0.0,124.0,72.0,1112.0,6.0,0.0,0.0,0.0,222.4,9.6
Stefon Diggs,2019,MIN,WR,26,15,0.0,1.0,0.0,0.0,0.0,5.0,61.0,0.0,94.0,63.0,1130.0,6.0,3.0,0.0,0.0,212.1,328.6
John Brown,2019,BUF,WR,29,15,1.0,1.0,28.0,1.0,0.0,2.0,7.0,0.0,115.0,72.0,1060.0,6.0,0.0,0.0,0.0,219.8,96.8
Michael Gallup,2019,DAL,WR,23,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,66.0,1107.0,6.0,0.0,0.0,0.0,212.7,173.3
D.J. Moore,2019,CAR,WR,22,15,0.0,0.0,0.0,0.0,0.0,6.0,40.0,0.0,135.0,87.0,1175.0,4.0,1.0,0.0,0.0,230.5,211.5
Robert Woods,2019,LAR,WR,27,15,0.0,0.0,0.0,0.0,0.0,17.0,115.0,1.0,139.0,90.0,1134.0,2.0,0.0,0.0,0.0,232.9,245.1
Calvin Ridley,2019,ATL,WR,25,13,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,93.0,63.0,866.0,7.0,0.0,1.0,0.0,197.0,281.5
Terry McLaurin,2019,WAS,WR,24,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,58.0,919.0,7.0,0.0,0.0,0.0,191.9,223.8
Tyler Boyd,2019,CIN,WR,25,16,0.0,0.0,0.0,0.0,0.0,4.0,23.0,0.0,148.0,90.0,1046.0,5.0,2.0,0.0,0.0,222.9,192.6
Marvin Jones,2019,DET,WR,29,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,91.0,62.0,779.0,9.0,0.0,0.0,0.0,193.9,227.8
Deebo Samuel,2019,SFO,WR,23,15,0.0,0.0,0.0,0.0,0.0,14.0,159.0,3.0,81.0,57.0,802.0,3.0,1.0,1.0,0.0,189.1,80.7
Tyreek Hill,2019,KAN,WR,25,12,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,89.0,58.0,860.0,7.0,0.0,0.0,0.0,188.3,328.9
Davante Adams,2019,GNB,WR,27,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,83.0,997.0,5.0,1.0,1.0,0.0,212.7,358.4
D.K. Metcalf,2019,SEA,WR,22,16,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,100.0,58.0,900.0,7.0,3.0,1.0,0.0,187.1,271.3
Odell Beckham Jr.,2019,CLE,WR,27,16,1.0,2.0,20.0,0.0,0.0,3.0,10.0,0.0,133.0,74.0,1035.0,4.0,1.0,0.0,0.0,201.3,86.8
Emmanuel Sanders,2019,2TM,WR,32,17,1.0,1.0,35.0,1.0,0.0,0.0,0.0,0.0,97.0,66.0,869.0,5.0,0.0,1.0,0.0,190.3,164.8
Darius Slayton,2019,NYG,WR,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,48.0,740.0,8.0,0.0,0.0,0.0,170.0,141.0
Jamison Crowder,2019,NYJ,WR,26,16,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,122.0,78.0,833.0,6.0,0.0,0.0,0.0,197.7,172.0
Cole Beasley,2019,BUF,WR,30,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,67.0,778.0,6.0,0.0,2.0,0.0,184.8,207.5
Curtis Samuel,2019,CAR,WR,23,16,0.0,0.0,0.0,0.0,0.0,19.0,130.0,1.0,105.0,54.0,627.0,6.0,0.0,0.0,0.0,171.7,212.1
Mike Williams,2019,LAC,WR,25,15,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,90.0,49.0,1001.0,2.0,0.0,0.0,0.0,161.3,153.7
Robbie Chosen,2019,NYJ,WR,26,16,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,96.0,52.0,779.0,5.0,0.0,1.0,0.0,162.3,224.1
Chris Conley,2019,JAX,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,47.0,775.0,5.0,0.0,1.0,0.0,156.5,97.1
Diontae Johnson,2019,PIT,WR,23,16,0.0,0.0,0.0,0.0,0.0,4.0,41.0,0.0,92.0,59.0,680.0,5.0,2.0,0.0,0.0,163.1,221.8
Golden Tate,2019,NYG,WR,31,11,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,85.0,49.0,676.0,6.0,1.0,0.0,0.0,152.2,86.5
