Draft_Year,Round,Pick,Team,Player_draft,Position,Age,College_draft,Conf,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD,Rec,Receiving_Yds,Receiving_TD
2025,1,1,TEN,Cameron Ward,QB,23.0,Miami (FL),ACC,13.0,305.0,454.0,4313.0,39.0,7.0,60.0,204.0,4.0,1.0,7.0,1.0
2025,1,2,JAX,Travis Hunter,WR,22.0,Colorado,Big 12,13.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,96.0,1258.0,15.0
2025,1,6,LVR,Ashton Jeanty,RB,21.0,Boise State,MWC,14.0,0.0,0.0,0.0,0.0,0.0,374.0,2601.0,29.0,23.0,138.0,1.0
2025,1,8,CAR,Tetairoa McMillan,WR,22.0,Arizona,Big 12,12.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,84.0,1319.0,8.0
2025,1,10,CHI,Colston Loveland,TE,21.0,Michigan,Big Ten,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,56.0,582.0,5.0
2025,1,14,IND,Tyler Warren,TE,23.0,Penn State,Big Ten,16.0,3.0,6.0,35.0,1.0,0.0,26.0,218.0,4.0,104.0,1233.0,8.0
2025,1,19,TAM,Emeka Egbuka,WR,22.0,Ohio State,Big Ten,16.0,0.0,0.0,0.0,0.0,0.0,8.0,33.0,0.0,81.0,1011.0,10.0
2025,1,22,LAC,Omarion Hampton,RB,22.0,North Carolina,ACC,12.0,0.0,0.0,0.0,0.0,0.0,281.0,1660.0,15.0,38.0,373.0,2.0
2025,1,23,GNB,Matthew Golden,WR,22.0,Texas,SEC,16.0,1.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,58.0,987.0,9.0
2025,1,25,NYG,Jaxson Dart,QB,22.0,Mississippi,SEC,13.0,276.0,398.0,4279.0,29.0,6.0,124.0,495.0,3.0,0.0,0.0,0.0
2025,2,34,HOU,Jayden Higgins,WR,22.0,Iowa State,Big 12,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,1183.0,9.0
2025,2,36,CLE,Quinshon Judkins,RB,21.0,Ohio State,Big Ten,16.0,0.0,0.0,0.0,0.0,0.0,194.0,1060.0,14.0,22.0,161.0,2.0
2025,2,38,NWE,TreVeyon Henderson,RB,22.0,Ohio State,Big Ten,16.0,0.0,0.0,0.0,0.0,0.0,144.0,1016.0,10.0,27.0,284.0,1.0
2025,2,39,CHI,Luther Burden,WR,21.0,Missouri,SEC,12.0,0.0,0.0,0.0,0.0,0.0,9.0,115.0,2.0,61.0,676.0,6.0
2025,2,40,NOR,Tyler Shough,QB,25.0,Louisville,ACC,12.0,244.0,389.0,3195.0,23.0,6.0,42.0,19.0,1.0,0.0,0.0,0.0
2025,2,42,NYJ,Mason Taylor,TE,21.0,LSU,SEC,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,546.0,2.0
2025,2,46,LAR,Terrance Ferguson,TE,22.0,Oregon,Big Ten,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,591.0,3.0
2025,2,50,SEA,Elijah Arroyo,TE,22.0,Miami (FL),ACC,13.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,35.0,590.0,7.0
2025,2,55,LAC,Tre Harris,WR,23.0,Mississippi,SEC,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1030.0,7.0
2025,2,58,LVR,Jack Bech,WR,22.0,TCU,Big 12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1034.0,9.0
2025,2,60,DEN,RJ Harvey,RB,24.0,UCF,Big 12,12.0,1.0,1.0,18.0,0.0,0.0,232.0,1577.0,22.0,20.0,267.0,3.0
2025,3,67,CLE,Harold Fannin,TE,21.0,Bowling Green,MAC,13.0,1.0,2.0,9.0,0.0,0.0,9.0,65.0,1.0,117.0,1555.0,10.0
2025,3,69,NWE,Kyle Williams,WR,22.0,Washington State,Ind,13.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,0.0,70.0,1198.0,14.0
2025,3,70,DET,Isaac TeSlaa,WR,23.0,Arkansas,SEC,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,545.0,3.0
2025,3,74,DEN,Pat Bryant,WR,22.0,Illinois,Big Ten,12.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,54.0,984.0,10.0
