,,,,,,,Misc,Misc,,Approx Val,Approx Val,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,,,,,,-additional
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CHI,Caleb Williams,QB,22,2025,0,0,1,12,12,20,410,655,4256,27,7,97,586,1,0,0,0,,,,USC,College Stats,WillCa03
1,2,WAS,Jayden Daniels,QB,23,2025,0,1,1,20,20,19,374,552,4001,28,9,166,976,6,0,0,0,,,,LSU,College Stats,DaniJa02
1,3,NWE,Drake Maye,QB,22,2025,0,1,1,8,8,16,302,444,3061,20,12,75,508,3,1,2,0,,,,North Carolina,College Stats,MayeDr00
1,4,ARI,Marvin Harrison Jr.,WR,22,2025,0,0,1,8,8,21,0,0,0,0,0,0,0,0,78,1093,10,,,,Ohio St.,College Stats,HarrMa09
1,5,LAC,Joe Alt,OL,21,2025,0,0,1,8,8,19,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,AltxJo01
1,6,NYG,Malik Nabers,WR,21,2025,0,1,1,9,9,18,0,1,0,0,0,5,2,0,125,1455,9,,,,LSU,College Stats,NabeMa00
1,7,TEN,JC Latham,OL,21,2025,0,0,1,7,7,18,0,0,0,0,0,0,0,0,1,0,0,,,,Alabama,College Stats,LathJC00
1,8,ATL,Michael Penix,QB,24,2025,0,0,0,2,2,8,119,204,1380,4,5,16,40,2,0,0,0,,,,Washington,College Stats,PeniMi00
1,9,CHI,Rome Odunze,WR,22,2025,0,0,1,6,6,20,0,0,0,0,0,3,15,0,70,961,7,,,,Washington,College Stats,OdunRo00
1,10,MIN,J.J. McCarthy,QB,21,2025,0,0,0,0,0,2,24,41,301,2,3,7,50,1,0,0,0,,,,Michigan,College Stats,McCaJJ00
1,11,NYJ,Olumuyiwa Fashanu,OL,21,2025,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,FashOl00
1,12,DEN,Bo Nix,QB,24,2025,0,0,1,13,13,20,437,662,4310,34,15,111,501,4,1,2,1,,,,Oregon,College Stats,NixxBo00
1,13,LVR,Brock Bowers,TE,21,2025,1,1,1,9,9,20,0,0,0,0,0,5,13,0,126,1373,5,,,,Georgia,College Stats,BoweBr01
1,14,NOR,Taliese Fuaga,OL,22,2025,0,0,1,8,8,19,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon St.,College Stats,FuagTa00
1,15,IND,Laiatu Latu,DL,23,2025,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,19,1,4.0,UCLA,College Stats,LatuLa00
1,16,SEA,Byron Murphy,DL,21,2025,0,0,0,5,5,18,0,0,0,0,0,0,0,0,0,0,0,18,,3.0,Texas,College Stats,MurpBy01
1,17,MIN,Dallas Turner,LB,21,2025,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,16,1,4.0,Alabama,College Stats,TurnDa01
1,18,CIN,Amarius Mims,OL,21,2025,0,0,1,8,8,18,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,MimsAm00
1,19,LAR,Jared Verse,DL,23,2025,0,1,1,10,10,20,0,0,0,0,0,0,0,0,0,0,0,42,,5.5,Florida St.,College Stats,VersJa00
1,20,PIT,Troy Fautanu,OL,23,2025,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,College Stats,FautTr00
1,21,MIA,Chop Robinson,DE,21,2025,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,19,,7.0,Penn St.,College Stats,RobiCh00
1,22,PHI,Quinyon Mitchell,CB,23,2025,0,0,1,6,6,19,0,0,0,0,0,0,0,0,0,0,0,47,,,Toledo,College Stats,MitcQu00
1,23,JAX,Brian Thomas,WR,21,2025,0,1,1,11,11,20,0,0,0,0,0,7,57,1,94,1397,10,,,,LSU,College Stats,ThomBr06
1,24,DET,Terrion Arnold,DB,21,2025,0,0,1,5,5,19,0,0,0,0,0,0,0,0,0,0,0,58,,,Alabama,College Stats,ArnoTe00
1,25,GNB,Jordan Morgan,OL,23,2025,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,College Stats,MorgJo03
1,26,TAM,Graham Barton,OL,22,2025,0,0,1,8,8,19,0,0,0,0,0,0,0,0,0,0,0,,,,Duke,College Stats,BartGr00
1,27,ARI,Darius Robinson,DL,22,2025,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,,2.0,Missouri,College Stats,RobiDa01
1,28,KAN,Xavier Worthy,WR,21,2025,0,0,1,7,7,18,0,0,0,0,0,21,104,3,59,638,6,,,,Texas,College Stats,WortXa00
1,29,DAL,Tyler Guyton,OL,23,2025,0,0,1,4,4,18,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,GuytTy00
1,30,BAL,Nate Wiggins,CB,21,2025,0,0,0,2,2,18,0,0,0,0,0,0,0,0,0,0,0,33,2,,Clemson,College Stats,WiggNa00
1,31,SFO,Ricky Pearsall,WR,23,2025,0,0,0,3,3,14,0,1,0,0,0,4,41,0,47,681,3,,,,Florida,College Stats,PearRi00
1,32,CAR,Xavier Legette,WR,23,2025,0,0,1,5,5,18,0,0,0,0,0,7,24,0,53,505,4,,,,South Carolina,College Stats,LegeXa00
2,33,BUF,Keon Coleman,WR,21,2025,0,0,1,7,7,16,0,0,0,0,0,1,9,0,43,714,5,,,,Florida St.,College Stats,ColeKe02
2,34,LAC,Ladd McConkey,WR,22,2025,0,0,1,11,11,19,0,0,0,0,0,0,0,0,97,1312,7,,,,Georgia,College Stats,McCoLa00
2,35,ATL,Ruke Orhorhoro,DT,22,2025,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,4,,0.5,Clemson,College Stats,OrhoRu00
2,36,WAS,Jer'Zhan Newton,DL,22,2025,0,0,0,5,5,19,0,0,0,0,0,0,0,0,0,0,0,22,,2.0,Illinois,College Stats,NewtJe00
2,37,NWE,Ja'Lynn Polk,WR,22,2024,0,0,1,1,1,15,0,0,0,0,0,1,0,0,12,87,2,,,,Washington,College Stats,PolkJa00
2,38,TEN,T'Vondre Sweat,DL,23,2025,0,0,1,7,7,18,0,0,0,0,0,0,0,0,0,0,0,24,,1.0,Texas,College Stats,SweaTV01
2,39,LAR,Braden Fiske,DL,24,2025,0,0,0,5,5,20,0,0,0,0,0,0,0,0,0,0,0,22,,8.5,Florida St.,College Stats,FiskBr00
2,40,PHI,Cooper DeJean,DB,21,2025,0,0,0,5,5,19,0,0,0,0,0,0,0,0,0,0,0,52,,0.5,Iowa,College Stats,DeJeCo00
2,41,NOR,Kool-Aid McKinstry,DB,21,2025,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,39,,,Alabama,College Stats,McKiKo00
2,42,HOU,Kamari Lassiter,DB,21,2025,0,0,1,5,5,17,0,0,0,0,0,0,0,0,0,0,0,56,3,,Georgia,College Stats,LassKa00
2,43,ARI,Max Melton,DB,22,2025,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,46,,,Rutgers,College Stats,MeltMa00
2,44,LVR,Jackson Powers-Johnson,OL,21,2025,0,0,1,4,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats,PoweJa00
2,45,GNB,Edgerrin Cooper,LB,22,2025,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,74,1,4.0,Texas A&M,College Stats,CoopEd00
2,46,CAR,Jonathon Brooks,RB,21,2024,0,0,0,0,0,3,0,0,0,0,0,9,22,0,3,23,0,,,,Texas,College Stats,BrooJo02
