Team,Year,Ranking
KAN,2020,1
BAL,2020,2
SFO,2020,3
NOR,2020,4
SEA,2020,5
TAM,2020,6
GNB,2020,7
DAL,2020,8
TEN,2020,9
MIN,2020,10
BUF,2020,11
PHI,2020,12
PIT,2020,13
IND,2020,14
NWE,2020,15
HOU,2020,16
LAR,2020,17
ATL,2020,18
ARI,2020,19
CLE,2020,20
LVR,2020,21
CHI,2020,22
DEN,2020,23
LAC,2020,24
DET,2020,25
MIA,2020,26
NYJ,2020,27
CAR,2020,28
NYG,2020,29
CIN,2020,30
WAS,2020,31
JAX,2020,32
KAN,2021,1
TAM,2021,2
BUF,2021,3
GNB,2021,4
LAR,2021,5
BAL,2021,6
CLE,2021,7
SEA,2021,8
TEN,2021,9
SFO,2021,10
PIT,2021,11
DAL,2021,12
ARI,2021,13
IND,2021,14
LAC,2021,15
MIA,2021,16
NWE,2021,17
MIN,2021,18
NOR,2021,19
WAS,2021,20
LVR,2021,21
CHI,2021,22
ATL,2021,23
NYG,2021,24
CAR,2021,25
DEN,2021,26
PHI,2021,27
CIN,2021,28
JAX,2021,29
NYJ,2021,30
DET,2021,31
HOU,2021,32
BUF,2022,1
TAM,2022,2
LAR,2022,3
KAN,2022,4
CIN,2022,5
GNB,2022,6
SFO,2022,7
LAC,2022,8
BAL,2022,9
DAL,2022,10
TEN,2022,11
DEN,2022,12
LVR,2022,13
IND,2022,14
PHI,2022,15
NWE,2022,16
CLE,2022,17
ARI,2022,18
MIA,2022,19
NOR,2022,20
WAS,2022,21
PIT,2022,22
MIN,2022,23
SEA,2022,24
CHI,2022,25
DET,2022,26
JAX,2022,27
NYG,2022,28
CAR,2022,29
NYJ,2022,30
HOU,2022,31
ATL,2022,32
KAN,2023,1
PHI,2023,2
CIN,2023,3
SFO,2023,4
BUF,2023,5
MIA,2023,6
DAL,2023,7
BAL,2023,8
LAC,2023,9
DET,2023,10
JAX,2023,11
SEA,2023,12
NYJ,2023,13
PIT,2023,14
MIN,2023,15
NYG,2023,16
NWE,2023,17
CLE,2023,18
NOR,2023,19
GNB,2023,20
DEN,2023,21
CAR,2023,22
LVR,2023,23
CHI,2023,24
WAS,2023,25
TEN,2023,26
LAR,2023,27
ATL,2023,28
IND,2023,29
TAM,2023,30
HOU,2023,31
ARI,2023,32
KAN,2024,1
BAL,2024,2
SFO,2024,3
DET,2024,4
PHI,2024,5
HOU,2024,6
BUF,2024,7
MIA,2024,8
CIN,2024,9
GNB,2024,10
DAL,2024,11
CLE,2024,12
LAR,2024,13
JAX,2024,14
NYJ,2024,15
PIT,2024,16
CHI,2024,17
IND,2024,18
ATL,2024,19
LAC,2024,20
TAM,2024,21
SEA,2024,22
MIN,2024,23
TEN,2024,24
NOR,2024,25
NYG,2024,26
LVR,2024,27
WAS,2024,28
ARI,2024,29
NWE,2024,30
DEN,2024,31
CAR,2024,32
PHI,2025,1
KAN,2025,2
BUF,2025,3
BAL,2025,4
DET,2025,5
WAS,2025,6
GNB,2025,7
LAR,2025,8
CIN,2025,9
MIN,2025,10
DEN,2025,11
HOU,2025,12
TAM,2025,13
LAC,2025,14
SFO,2025,15
PIT,2025,16
SEA,2025,17
DAL,2025,18
ATL,2025,19
MIA,2025,20
CHI,2025,21
ARI,2025,22
NWE,2025,23
JAX,2025,24
LVR,2025,25
IND,2025,26
CAR,2025,27
NYJ,2025,28
NYG,2025,29
CLE,2025,30
NOR,2025,31
TEN,2025,32
