Team,Year,Opp1,Opp2,Opp3,Opp4,Opp5,Opp6,Opp7,Opp8,Opp9,Opp10,Opp11,Opp12,Opp13,Opp14,Opp15,Opp16,Opp17
ARI,2019,DET,BAL,CAR,SEA,CIN,ATL,NYG,NOR,SFO,TAM,SFO,LAR,PIT,CLE,SEA,LAR,
ATL,2019,MIN,PHI,IND,TEN,HOU,ARI,LAR,SEA,NOR,CAR,TAM,NOR,CAR,SFO,JAX,TAM,
BAL,2019,MIA,ARI,KAN,CLE,PIT,CIN,SEA,NWE,CIN,HOU,LAR,SFO,BUF,NYJ,CLE,PIT,
BUF,2019,NYJ,NYG,CIN,NWE,TEN,MIA,PHI,WAS,CLE,MIA,DEN,DAL,BAL,PIT,NWE,NYJ,
CAR,2019,LAR,TAM,ARI,HOU,JAX,TAM,SFO,TEN,GNB,ATL,NOR,WAS,ATL,SEA,IND,NOR,
CHI,2019,GNB,DEN,WAS,MIN,OAK,NOR,LAC,PHI,DET,LAR,NYG,DET,DAL,GNB,KAN,MIN,
CIN,2019,SEA,SFO,BUF,PIT,ARI,BAL,JAX,LAR,BAL,OAK,PIT,NYJ,CLE,NWE,MIA,CLE,
CLE,2019,TEN,NYJ,LAR,BAL,SFO,SEA,NWE,DEN,BUF,PIT,MIA,PIT,CIN,ARI,BAL,CIN,
DAL,2019,NYG,WAS,MIA,NOR,GNB,NYJ,PHI,NYG,MIN,DET,NWE,BUF,CHI,LAR,PHI,WAS,
DEN,2019,OAK,CHI,GNB,JAX,LAC,TEN,KAN,IND,CLE,MIN,BUF,LAC,HOU,KAN,DET,OAK,
DET,2019,ARI,LAC,PHI,KAN,GNB,MIN,NYG,OAK,CHI,DAL,WAS,CHI,MIN,TAM,DEN,GNB,
GNB,2019,CHI,MIN,DEN,PHI,DAL,DET,OAK,KAN,LAC,CAR,SFO,NYG,WAS,CHI,MIN,DET,
HOU,2019,NOR,JAX,LAC,CAR,ATL,KAN,IND,OAK,JAX,BAL,IND,NWE,DEN,TEN,TAM,TEN,
IND,2019,LAC,TEN,ATL,OAK,KAN,HOU,DEN,PIT,MIA,JAX,HOU,TEN,TAM,NOR,CAR,JAX,
JAX,2019,KAN,HOU,TEN,DEN,CAR,NOR,CIN,NYJ,HOU,IND,TEN,TAM,LAC,OAK,ATL,IND,
KAN,2019,JAX,OAK,BAL,DET,IND,HOU,DEN,GBP,MIN,TEN,LAC,OAK,NWE,DEN,CHI,LAC,
LAC,2019,IND,DET,HOU,MIA,DEN,PIT,TEN,CHI,GBP,OAK,KAN,DEN,JAX,MIN,OAK,KAN,
LAR,2019,CAR,NOR,CLE,TAM,SEA,SFO,ATL,CIN,PIT,CHI,BAL,ARI,SEA,DAL,SFO,ARI,
MIA,2019,BAL,NWE,DAL,LAC,WAS,BUF,PIT,NYJ,IND,BUF,CLE,PHI,NYJ,NYG,CIN,NWE,
MIN,2019,ATL,GNB,OAK,CHI,NYG,PHI,DET,WAS,KAN,DAL,DEN,SEA,DET,LAC,GNB,CHI,
NOR,2019,HOU,LAR,SEA,DAL,TAM,JAX,CHI,ARI,ATL,TAM,CAR,ATL,SFO,IND,TEN,CAR,
NWE,2019,PIT,MIA,NYJ,BUF,WAS,NYG,NYJ,CLE,BAL,PHI,DAL,HOU,KAN,CIN,BUF,MIA,
NYG,2019,DAL,BUF,TAM,WAS,MIN,NWE,ARI,DET,DAL,NYJ,CHI,GNB,PHI,MIA,WAS,PHI,
NYJ,2019,BUF,CLE,NWE,PHI,DAL,NWE,JAX,MIA,NYG,WAS,OAK,CIN,MIA,BAL,PIT,BUF,
OAK,2019,DEN,KAN,MIN,IND,CHI,GNB,HOU,DET,LAC,CIN,NYJ,KAN,TEN,JAX,LAC,DEN,
PHI,2019,WAS,ATL,DET,GNB,NYJ,MIN,DAL,BUF,CHI,NWE,SEA,MIA,NYG,WAS,DAL,NYG,
PIT,2019,NWE,SEA,SFO,CIN,BAL,LAC,MIA,IND,LAR,CLE,CIN,CLE,ARI,BUF,NYJ,BAL,
SEA,2019,CIN,PIT,NOR,ARI,LAR,CLE,BAL,ATL,TAM,SFO,PHI,MIN,LAR,CAR,ARI,SFO,
SFO,2019,TAM,CIN,PIT,CLE,LAR,WAS,CAR,ARI,SEA,ARI,GNB,BAL,NOR,ATL,LAR,SEA,
TAM,2019,SFO,CAR,NYG,LAR,NOR,CAR,TEN,SEA,ARI,NOR,ATL,JAX,IND,DET,HOU,ATL,
TEN,2019,CLE,IND,JAX,ATL,BUF,DEN,LAC,TAM,CAR,KAN,JAX,IND,OAK,HOU,NOR,HOU,
WAS,2019,PHI,DAL,CHI,NYG,NWE,MIA,SFO,MIN,BUF,NYJ,DET,CAR,GNB,PHI,NYG,DAL,
ARI,2020,SFO,WAS,DET,CAR,NYJ,DAL,SEA,MIA,BUF,SEA,NWE,LAR,NYG,PHI,SFO,LAR,
