Player,Draft_Year,Team,Conf,G,Cmp,Att,Yds,TD,Int,Rushing_Att,Rushing_Yds,Rushing_TD
A'Jon Vivens,2021,Colorado State,MWC,,,,,,,49.0,210.0,1.0
A'Jon Vivens,2022,Colorado State,MWC,,,,,,,90.0,324.0,0.0
A'Jon Vivens,2023,Colorado State,MWC,,,,,,,39.0,104.0,0.0
A'Marion Peterson,2024,USC,Pac-12,,,,,,,2.0,14.0,0.0
A'Montae Spivey,2020,Arkansas,SEC,,,,,,,7.0,24.0,0.0
A'Montae Spivey,2021,Arkansas,SEC,,,,,,,4.0,11.0,0.0
A'varius Sparrow,2021,West Virginia,Big 12,,,,,,,3.0,10.0,0.0
A'varius Sparrow,2022,West Virginia,Big 12,,,,,,,3.0,4.0,1.0
A'varius Sparrow,2023,Middle Tennessee State,CUSA,,,,,,,8.0,18.0,0.0
A.J. Brown,2022,Georgia Southern,Sun Belt,,,,,,,1.0,2.0,0.0
A.J. Brown,2023,Georgia Southern,Sun Belt,,,,,,,15.0,67.0,1.0
A.J. Carter,2020,Arizona State,Pac-12,,,,,,,19.0,50.0,0.0
A.J. Davis,2020,Pitt,ACC,,,,,,,127.0,530.0,4.0
A.J. Davis,2021,Pitt,ACC,,,,,,,61.0,266.0,1.0
A.J. Davis,2022,UAB,CUSA,11.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.0,0.0
A.J. Davis Jr.,2020,Pitt,ACC,,,,,,,127.0,530.0,4.0
A.J. Davis Jr.,2021,Pitt,ACC,,,,,,,61.0,266.0,1.0
A.J. Davis Jr.,2022,Pitt,ACC,,,,,,,2.0,21.0,1.0
A.J. Gates,2022,UAB,CUSA,,,,,,,7.0,24.0,0.0
A.J. Gates,2023,UAB,CUSA,,,,,,,11.0,13.0,0.0
A.J. Green,2020,Oklahoma State,Big 12,,,,,,,1.0,2.0,0.0
A.J. Henning,2021,Michigan,Big Ten,,,,,,,3.0,15.0,0.0
A.J. Henning,2022,Michigan,Big Ten,,,,,,,9.0,162.0,2.0
A.J. Henning,2023,Michigan,Big Ten,,,,,,,3.0,9.0,0.0
A.J. Henning,2024,Northwestern,Big Ten,,,,,,,27.0,110.0,1.0
A.J. Taylor,2020,Wisconsin,Big Ten,,,,,,,6.0,34.0,0.0
A.J. Turner,2020,South Carolina,SEC,,,,,,,4.0,14.0,0.0
A.J. Turner,2023,Marshall,Sun Belt,,,,,,,17.0,100.0,0.0
A.J. Turner,2024,Marshall,Sun Belt,,,,,,,6.0,20.0,0.0
AJ Bianco,2024,Nevada,MWC,8.0,45.0,82.0,614.0,4.0,5.0,42.0,183.0,1.0
AJ Dillon,2020,Boston College,ACC,,,,,,,318.0,1685.0,14.0
AJ Duffy,2023,Florida State,ACC,3.0,2.0,7.0,26.0,1.0,0.0,1.0,5.0,0.0
AJ Duffy,2024,Florida State,ACC,,,,,,,3.0,5.0,0.0
AJ Green,2022,Arkansas,SEC,,,,,,,47.0,227.0,1.0
AJ Green,2023,Arkansas,SEC,,,,,,,87.0,414.0,3.0
AJ Green,2024,Arkansas,SEC,,,,,,,67.0,312.0,2.0
AJ Howard Jr.,2020,Army,Ind,,,,,,,2.0,28.0,0.0
AJ Howard Jr.,2021,Army,Ind,,,,,,,15.0,75.0,0.0
AJ Howard Jr.,2022,Army,Ind,,,,,,,20.0,106.0,2.0
AJ Mayer,2020,Miami (OH),MAC,,,,,,,3.0,-11.0,0.0
